date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2016-02-29 | 215
2016-02-28 | 210
2015-02-29 | 99 
2015-04-31 | 554
2015-04-30 | 554
2015-04-03 | 1000.000000001
2015-04-03 | 0.042
2016-06-12 | 999.00000001
2012-01-11 | 2147483648
2019-05-06 | 0.000000015
2019-05-06 | 1.

2019-05-06 | 123456789abcdefghijklmnopqrstuvwxyz
2019-05-06 | 2147483640.000000012
2019-05-06 | 2147483640124545654616545

